CustomerID,Lookalikes
C0001,"[('C0152', 1.0), ('C0174', 0.7076175507802487), ('C0011', 0.6306477219445885)]"
C0002,"[('C0134', 1.0), ('C0159', 0.4727798332773514), ('C0005', 0.4667805987474437)]"
C0003,"[('C0129', 1.0), ('C0076', 0.5139207566062414), ('C0195', 0.4870014171779073)]"
C0004,"[('C0099', 1.0), ('C0155', 0.4679691893331667), ('C0108', 0.4591861598527403)]"
C0005,"[('C0159', 1.0), ('C0007', 0.8510364415061588), ('C0073', 0.5384890819575353)]"
C0006,"[('C0187', 1.0), ('C0158', 0.5278570095937974), ('C0185', 0.46770541590868325)]"
C0007,"[('C0159', 1.0), ('C0005', 0.5619663040545375), ('C0070', 0.5384890819575353)]"
C0008,"[('C0024', 1.0), ('C0017', 0.473885184986724), ('C0194', 0.45887738094876995)]"
C0009,"[('C0119', 1.0), ('C0121', 0.44604597842328875), ('C0128', 0.4231342020715098)]"
C0010,"[('C0019', 1.0), ('C0199', 0.7051847410836903), ('C0062', 0.6327258183958738)]"
C0011,"[('C0107', 1.0), ('C0001', 0.7924504704091382), ('C0108', 0.6138588536148771)]"
C0012,"[('C0013', 1.0), ('C0195', 0.5911084614623268), ('C0126', 0.553971315624406)]"
C0013,"[('C0012', 1.0), ('C0087', 0.5911084614623268), ('C0126', 0.5481086153869008)]"
C0014,"[('C0058', 1.0), ('C0033', 0.4856903571012001), ('C0097', 0.4556960674779164)]"
C0015,"[('C0144', 1.0), ('C0095', 0.4524577661601567), ('C0042', 0.4470051226807774)]"
C0016,"[('C0183', 1.0), ('C0026', 0.7504131879335252), ('C0064', 0.5856992849828366)]"
C0017,"[('C0008', 1.0), ('C0093', 0.45887738094876995), ('C0090', 0.45452783522363877)]"
C0018,"[('C0105', 1.0), ('C0013', 0.46322143396549975), ('C0012', 0.44535222263164725)]"
C0019,"[('C0010', 1.0), ('C0199', 0.7051847410836903), ('C0062', 0.6021524871479985)]"
C0020,"[('C0063', 1.0), ('C0144', 0.40994469574104514), ('C0110', 0.3566819670815445)]"
