CustomerID,Lookalikes
C0001,"[('C0146', 0.9357383419615634), ('C0190', 0.9269112040237562), ('C0105', 0.9238859177857837)]"
C0002,"[('C0079', 0.9886186489553881), ('C0117', 0.9866770127238121), ('C0178', 0.9620127261928508)]"
C0003,"[('C0102', 0.8915082841706172), ('C0024', 0.8132260450922754), ('C0181', 0.8037707693444932)]"
C0004,"[('C0134', 0.8803627950528032), ('C0176', 0.8448029030304732), ('C0096', 0.8366289449449401)]"
C0005,"[('C0053', 0.9897716732175785), ('C0072', 0.9856434604829882), ('C0192', 0.978187443086788)]"
C0006,"[('C0063', 0.8254910374518847), ('C0040', 0.7552547334309765), ('C0070', 0.7498716112728911)]"
C0007,"[('C0170', 0.89837386035138), ('C0103', 0.883741117440094), ('C0071', 0.8679619683276525)]"
C0008,"[('C0057', 0.9282804012851893), ('C0021', 0.8911078702875751), ('C0187', 0.8810448812243913)]"
C0009,"[('C0162', 0.9732091713234727), ('C0112', 0.9536177302064909), ('C0140', 0.9438915804113481)]"
C0010,"[('C0083', 0.9879411126819668), ('C0029', 0.9239112984802066), ('C0013', 0.7846757184147537)]"
C0011,"[('C0137', 0.8669277660496979), ('C0073', 0.8219888532669285), ('C0169', 0.8132782633335851)]"
C0012,"[('C0091', 0.9865732679713527), ('C0125', 0.9674928331493485), ('C0101', 0.9196676031427466)]"
C0013,"[('C0182', 0.8988282738773562), ('C0046', 0.8908264230890964), ('C0058', 0.8845047159928102)]"
C0014,"[('C0106', 0.8675223380054606), ('C0018', 0.8016541887397071), ('C0070', 0.8016117199489421)]"
C0015,"[('C0127', 0.9159978990458909), ('C0179', 0.8918723070607103), ('C0139', 0.7838472939953116)]"
C0016,"[('C0086', 0.86943272281899), ('C0064', 0.8420772991478758), ('C0052', 0.7732123971276509)]"
C0017,"[('C0129', 0.8334586730627174), ('C0071', 0.8279680419594282), ('C0062', 0.8243516435561187)]"
C0018,"[('C0197', 0.8781408733629323), ('C0075', 0.8700014439231042), ('C0106', 0.8329745081097428)]"
C0019,"[('C0114', 0.8644248562936134), ('C0160', 0.8350056695708247), ('C0036', 0.8264903595947375)]"
C0020,"[('C0170', 0.8645330001557626), ('C0026', 0.8179593919602308), ('C0045', 0.7980180952864203)]"
